image_id,x_min,y_min,x_max,y_max,class_id,original_width,original_height,transformed_width,transformed_height,fold
0005e8e3701dfb1dd93d53e2ff537b6e,150.0,97.83333333333331,200.8333333333333,148.0,6.0,3072,3072,512,512,0
0005e8e3701dfb1dd93d53e2ff537b6e,155.33333333333334,94.5,199.5,149.33333333333334,8.0,3072,3072,512,512,0
0005e8e3701dfb1dd93d53e2ff537b6e,150.0,97.83333333333331,200.8333333333333,148.0,7.0,3072,3072,512,512,0
0005e8e3701dfb1dd93d53e2ff537b6e,155.33333333333334,94.5,199.5,149.33333333333334,4.0,3072,3072,512,512,0
009d4c31ebf87e51c5c8c160a4bd8006,392.0637219406227,275.4186851211073,429.50905141202026,316.96332179930795,13.0,2762,2890,512,536,0
009d4c31ebf87e51c5c8c160a4bd8006,392.9905865314989,278.2006920415225,405.22519913106447,314.9231833910035,7.0,2762,2890,512,536,0
009d4c31ebf87e51c5c8c160a4bd8006,129.76104272266474,179.53217993079585,228.00868935553947,299.9003460207613,7.0,2762,2890,512,536,0
009d4c31ebf87e51c5c8c160a4bd8006,62.28530050687908,83.08927335640138,235.23823316437364,449.9432525951557,10.0,2762,2890,512,536,0
009d4c31ebf87e51c5c8c160a4bd8006,130.50253439536567,214.21453287197232,228.5648081100652,262.9923875432526,7.0,2762,2890,512,536,0
009d4c31ebf87e51c5c8c160a4bd8006,129.76104272266474,179.53217993079585,228.00868935553947,299.9003460207613,4.0,2762,2890,512,536,0
009d4c31ebf87e51c5c8c160a4bd8006,273.05430847212165,189.918339100346,337.7494569152788,239.0671280276817,0.0,2762,2890,512,536,0
009d837e29ba400e03856cf8d6a5b545,124.44444444444444,65.77777777777777,191.3333333333333,93.55555555555556,11.0,2304,2880,512,640,0
009d837e29ba400e03856cf8d6a5b545,268.0,135.33333333333334,308.22222222222223,179.33333333333334,0.0,2304,2880,512,640,0
009d837e29ba400e03856cf8d6a5b545,301.77777777777777,64.0,355.55555555555554,79.33333333333334,11.0,2304,2880,512,640,0
009d837e29ba400e03856cf8d6a5b545,255.3333333333333,132.22222222222223,310.0,195.3333333333333,0.0,2304,2880,512,640,0
00aca42a24e4ea6066cca2546150c36e,341.7322203672788,67.52356191095222,379.8544240400668,95.38771530711732,11.0,2995,3077,512,526,0
00aca42a24e4ea6066cca2546150c36e,140.18030050083473,57.26681832954176,192.8333889816361,78.12219694507637,11.0,2995,3077,512,526,0
00aca42a24e4ea6066cca2546150c36e,401.5652754590985,298.4712382190445,437.2941569282137,374.2001949951251,10.0,2995,3077,512,526,0
00aca42a24e4ea6066cca2546150c36e,57.61068447412354,170.6038349041274,135.56460767946578,340.6948326291843,7.0,2995,3077,512,526,0
00aca42a24e4ea6066cca2546150c36e,376.2644407345576,289.411114722132,431.1398998330551,343.7718557036074,7.0,2995,3077,512,526,0
00aca42a24e4ea6066cca2546150c36e,260.8721202003339,131.4572635684108,312.1575959933222,191.1173220669483,0.0,2995,3077,512,526,0
00aca42a24e4ea6066cca2546150c36e,186.8500834724541,282.0604484887878,391.8210350584307,349.4130646733832,3.0,2995,3077,512,526,0
00bcb82818ea83d6a86df241762cd7d0,232.75,137.75,285.75,215.25,0.0,2048,2500,512,625,0
00bcb82818ea83d6a86df241762cd7d0,381.0,369.75,416.75,422.75,10.0,2048,2500,512,625,0
00bcb82818ea83d6a86df241762cd7d0,166.0,309.5,355.5,391.5,3.0,2048,2500,512,625,0
00bcb82818ea83d6a86df241762cd7d0,381.0,369.75,416.75,422.75,11.0,2048,2500,512,625,0
00bcb82818ea83d6a86df241762cd7d0,175.25,162.5,214.0,384.75,9.0,2048,2500,512,625,0
011244ab511b20130d846f5f8f0c3866,232.0,197.3333333333333,417.8333333333333,255.3333333333333,3.0,3072,3072,512,512,0
0114c5cd093c742334d5a5fa14140421,269.303937007874,136.615234375,330.78425196850395,191.42252604166669,0.0,2540,3072,512,619,0
0114c5cd093c742334d5a5fa14140421,274.1417322834646,138.22721354166666,340.86299212598425,222.453125,0.0,2540,3072,512,619,0
0114c5cd093c742334d5a5fa14140421,100.78740157480316,396.14388020833337,110.86614173228348,427.57747395833337,10.0,2540,3072,512,619,0
0114c5cd093c742334d5a5fa14140421,453.54330708661416,411.86067708333337,463.4204724409449,431.607421875,10.0,2540,3072,512,619,0
0114c5cd093c742334d5a5fa14140421,453.54330708661416,411.86067708333337,463.4204724409449,431.607421875,11.0,2540,3072,512,619,0
0114c5cd093c742334d5a5fa14140421,214.4755905511811,322.39583333333337,399.9244094488189,393.12141927083337,3.0,2540,3072,512,619,0
0114c5cd093c742334d5a5fa14140421,100.78740157480316,396.14388020833337,110.86614173228348,427.57747395833337,11.0,2540,3072,512,619,0
0114c5cd093c742334d5a5fa14140421,303.16850393700787,142.0556640625,324.1322834645669,184.974609375,2.0,2540,3072,512,619,0
011ae9520e81f1efe71c9d954ec07d09,127.83333333333331,205.66666666666663,186.0,230.8333333333333,6.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,126.5,204.66666666666663,184.3333333333333,228.5,13.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,176.33333333333334,108.66666666666669,223.3333333333333,118.83333333333331,11.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,191.8333333333333,297.8333333333333,386.0,369.0,3.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,289.8333333333333,96.83333333333331,338.5,115.5,11.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,294.3333333333333,101.66666666666669,357.8333333333333,117.83333333333331,11.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,263.3333333333333,163.0,314.1666666666667,218.16666666666663,0.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,136.16666666666666,297.8333333333333,190.66666666666663,333.1666666666667,6.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,124.0,209.3333333333333,177.0,221.16666666666663,13.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,111.83333333333331,342.3333333333333,165.83333333333334,380.1666666666667,7.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,111.83333333333331,342.3333333333333,165.83333333333334,380.1666666666667,9.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,412.3333333333333,302.0,422.5,314.1666666666667,8.0,3072,3072,512,512,0
011ae9520e81f1efe71c9d954ec07d09,412.3333333333333,302.0,422.5,314.1666666666667,9.0,3072,3072,512,512,0
013893a5fa90241c65c3efcdbdd2cec1,148.66666666666666,275.5,208.3333333333333,317.1666666666667,9.0,3072,3072,512,512,0
013893a5fa90241c65c3efcdbdd2cec1,188.8333333333333,67.0,209.0,96.33333333333331,13.0,3072,3072,512,512,0
013893a5fa90241c65c3efcdbdd2cec1,145.0,264.8333333333333,203.16666666666663,319.6666666666667,7.0,3072,3072,512,512,0
013893a5fa90241c65c3efcdbdd2cec1,145.0,264.8333333333333,203.16666666666663,319.6666666666667,6.0,3072,3072,512,512,0
013893a5fa90241c65c3efcdbdd2cec1,190.16666666666663,72.83333333333333,209.0,89.66666666666667,13.0,3072,3072,512,512,0
013893a5fa90241c65c3efcdbdd2cec1,111.16666666666669,226.3333333333333,218.0,325.3333333333333,6.0,3072,3072,512,512,0
